,type,artist,prompt,evaluation_seed
0,0,Brent Heighton,Image in the style of Brent Heighton,1
1,0,Brent Heighton,Image in the style of Brent Heighton,2
2,0,Brent Heighton,Image in the style of Brent Heighton,3
3,0,Brent Heighton,Image in the style of Brent Heighton,4
4,0,Brent Heighton,Image in the style of Brent Heighton,5
5,0,Brent Heighton,Art inspired by Brent Heighton,1
6,0,Brent Heighton,Art inspired by Brent Heighton,2
7,0,Brent Heighton,Art inspired by Brent Heighton,3
8,0,Brent Heighton,Art inspired by Brent Heighton,4
9,0,Brent Heighton,Art inspired by Brent Heighton,5
10,0,Brent Heighton,Painting in the style of Brent Heighton,1
11,0,Brent Heighton,Painting in the style of Brent Heighton,2
12,0,Brent Heighton,Painting in the style of Brent Heighton,3
13,0,Brent Heighton,Painting in the style of Brent Heighton,4
14,0,Brent Heighton,Painting in the style of Brent Heighton,5
15,0,Brent Heighton,A reproduction of art by Brent Heighton,1
16,0,Brent Heighton,A reproduction of art by Brent Heighton,2
17,0,Brent Heighton,A reproduction of art by Brent Heighton,3
18,0,Brent Heighton,A reproduction of art by Brent Heighton,4
19,0,Brent Heighton,A reproduction of art by Brent Heighton,5
20,0,Brent Heighton,A famous artwork by Brent Heighton,1
21,0,Brent Heighton,A famous artwork by Brent Heighton,2
22,0,Brent Heighton,A famous artwork by Brent Heighton,3
23,0,Brent Heighton,A famous artwork by Brent Heighton,4
24,0,Brent Heighton,A famous artwork by Brent Heighton,5
25,0,Brett Weston,Image in the style of Brett Weston,1
26,0,Brett Weston,Image in the style of Brett Weston,2
27,0,Brett Weston,Image in the style of Brett Weston,3
28,0,Brett Weston,Image in the style of Brett Weston,4
29,0,Brett Weston,Image in the style of Brett Weston,5
30,0,Brett Weston,Art inspired by Brett Weston,1
31,0,Brett Weston,Art inspired by Brett Weston,2
32,0,Brett Weston,Art inspired by Brett Weston,3
33,0,Brett Weston,Art inspired by Brett Weston,4
34,0,Brett Weston,Art inspired by Brett Weston,5
35,0,Brett Weston,Painting in the style of Brett Weston,1
36,0,Brett Weston,Painting in the style of Brett Weston,2
37,0,Brett Weston,Painting in the style of Brett Weston,3
38,0,Brett Weston,Painting in the style of Brett Weston,4
39,0,Brett Weston,Painting in the style of Brett Weston,5
40,0,Brett Weston,A reproduction of art by Brett Weston,1
41,0,Brett Weston,A reproduction of art by Brett Weston,2
42,0,Brett Weston,A reproduction of art by Brett Weston,3
43,0,Brett Weston,A reproduction of art by Brett Weston,4
44,0,Brett Weston,A reproduction of art by Brett Weston,5
45,0,Brett Weston,A famous artwork by Brett Weston,1
46,0,Brett Weston,A famous artwork by Brett Weston,2
47,0,Brett Weston,A famous artwork by Brett Weston,3
48,0,Brett Weston,A famous artwork by Brett Weston,4
49,0,Brett Weston,A famous artwork by Brett Weston,5
50,0,Brett Whiteley,Image in the style of Brett Whiteley,1
51,0,Brett Whiteley,Image in the style of Brett Whiteley,2
52,0,Brett Whiteley,Image in the style of Brett Whiteley,3
53,0,Brett Whiteley,Image in the style of Brett Whiteley,4
54,0,Brett Whiteley,Image in the style of Brett Whiteley,5
55,0,Brett Whiteley,Art inspired by Brett Whiteley,1
56,0,Brett Whiteley,Art inspired by Brett Whiteley,2
57,0,Brett Whiteley,Art inspired by Brett Whiteley,3
58,0,Brett Whiteley,Art inspired by Brett Whiteley,4
59,0,Brett Whiteley,Art inspired by Brett Whiteley,5
60,0,Brett Whiteley,Painting in the style of Brett Whiteley,1
61,0,Brett Whiteley,Painting in the style of Brett Whiteley,2
62,0,Brett Whiteley,Painting in the style of Brett Whiteley,3
63,0,Brett Whiteley,Painting in the style of Brett Whiteley,4
64,0,Brett Whiteley,Painting in the style of Brett Whiteley,5
65,0,Brett Whiteley,A reproduction of art by Brett Whiteley,1
66,0,Brett Whiteley,A reproduction of art by Brett Whiteley,2
67,0,Brett Whiteley,A reproduction of art by Brett Whiteley,3
68,0,Brett Whiteley,A reproduction of art by Brett Whiteley,4
69,0,Brett Whiteley,A reproduction of art by Brett Whiteley,5
70,0,Brett Whiteley,A famous artwork by Brett Whiteley,1
71,0,Brett Whiteley,A famous artwork by Brett Whiteley,2
72,0,Brett Whiteley,A famous artwork by Brett Whiteley,3
73,0,Brett Whiteley,A famous artwork by Brett Whiteley,4
74,0,Brett Whiteley,A famous artwork by Brett Whiteley,5
75,0,Brian Bolland,Image in the style of Brian Bolland,1
76,0,Brian Bolland,Image in the style of Brian Bolland,2
77,0,Brian Bolland,Image in the style of Brian Bolland,3
78,0,Brian Bolland,Image in the style of Brian Bolland,4
79,0,Brian Bolland,Image in the style of Brian Bolland,5
80,0,Brian Bolland,Art inspired by Brian Bolland,1
81,0,Brian Bolland,Art inspired by Brian Bolland,2
82,0,Brian Bolland,Art inspired by Brian Bolland,3
83,0,Brian Bolland,Art inspired by Brian Bolland,4
84,0,Brian Bolland,Art inspired by Brian Bolland,5
85,0,Brian Bolland,Painting in the style of Brian Bolland,1
86,0,Brian Bolland,Painting in the style of Brian Bolland,2
87,0,Brian Bolland,Painting in the style of Brian Bolland,3
88,0,Brian Bolland,Painting in the style of Brian Bolland,4
89,0,Brian Bolland,Painting in the style of Brian Bolland,5
90,0,Brian Bolland,A reproduction of art by Brian Bolland,1
91,0,Brian Bolland,A reproduction of art by Brian Bolland,2
92,0,Brian Bolland,A reproduction of art by Brian Bolland,3
93,0,Brian Bolland,A reproduction of art by Brian Bolland,4
94,0,Brian Bolland,A reproduction of art by Brian Bolland,5
95,0,Brian Bolland,A famous artwork by Brian Bolland,1
96,0,Brian Bolland,A famous artwork by Brian Bolland,2
97,0,Brian Bolland,A famous artwork by Brian Bolland,3
98,0,Brian Bolland,A famous artwork by Brian Bolland,4
99,0,Brian Bolland,A famous artwork by Brian Bolland,5
100,0,Brian Despain,Image in the style of Brian Despain,1
101,0,Brian Despain,Image in the style of Brian Despain,2
102,0,Brian Despain,Image in the style of Brian Despain,3
103,0,Brian Despain,Image in the style of Brian Despain,4
104,0,Brian Despain,Image in the style of Brian Despain,5
105,0,Brian Despain,Art inspired by Brian Despain,1
106,0,Brian Despain,Art inspired by Brian Despain,2
107,0,Brian Despain,Art inspired by Brian Despain,3
108,0,Brian Despain,Art inspired by Brian Despain,4
109,0,Brian Despain,Art inspired by Brian Despain,5
110,0,Brian Despain,Painting in the style of Brian Despain,1
111,0,Brian Despain,Painting in the style of Brian Despain,2
112,0,Brian Despain,Painting in the style of Brian Despain,3
113,0,Brian Despain,Painting in the style of Brian Despain,4
114,0,Brian Despain,Painting in the style of Brian Despain,5
115,0,Brian Despain,A reproduction of art by Brian Despain,1
116,0,Brian Despain,A reproduction of art by Brian Despain,2
117,0,Brian Despain,A reproduction of art by Brian Despain,3
118,0,Brian Despain,A reproduction of art by Brian Despain,4
119,0,Brian Despain,A reproduction of art by Brian Despain,5
120,0,Brian Despain,A famous artwork by Brian Despain,1
121,0,Brian Despain,A famous artwork by Brian Despain,2
