,prompt,evaluation_seed,actor,art_style
0,A Camille Pissarro-style depiction of Elvis Presley,0,Elvis Presley,Camille Pissarro
1,A Camille Pissarro-style depiction of Elvis Presley,1,Elvis Presley,Camille Pissarro
2,A Camille Pissarro-style depiction of Elvis Presley,2,Elvis Presley,Camille Pissarro
3,A Camille Pissarro-style depiction of Elvis Presley,3,Elvis Presley,Camille Pissarro
4,A Camille Pissarro-style depiction of Elvis Presley,4,Elvis Presley,Camille Pissarro
5,A Camille Pissarro-style portrait of Bryan Cranston,0,Bryan Cranston,Camille Pissarro
6,A Camille Pissarro-style portrait of Bryan Cranston,1,Bryan Cranston,Camille Pissarro
7,A Camille Pissarro-style portrait of Bryan Cranston,2,Bryan Cranston,Camille Pissarro
8,A Camille Pissarro-style portrait of Bryan Cranston,3,Bryan Cranston,Camille Pissarro
9,A Camille Pissarro-style portrait of Bryan Cranston,4,Bryan Cranston,Camille Pissarro
10,A Camille Pissarro-style portrait of Ed Sheeran,0,Ed Sheeran,Camille Pissarro
11,A Camille Pissarro-style portrait of Ed Sheeran,1,Ed Sheeran,Camille Pissarro
12,A Camille Pissarro-style portrait of Ed Sheeran,2,Ed Sheeran,Camille Pissarro
13,A Camille Pissarro-style portrait of Ed Sheeran,3,Ed Sheeran,Camille Pissarro
14,A Camille Pissarro-style portrait of Ed Sheeran,4,Ed Sheeran,Camille Pissarro
15,A Camille Pissarro-style portrait of Charlize Theron,0,Charlize Theron,Camille Pissarro
16,A Camille Pissarro-style portrait of Charlize Theron,1,Charlize Theron,Camille Pissarro
17,A Camille Pissarro-style portrait of Charlize Theron,2,Charlize Theron,Camille Pissarro
18,A Camille Pissarro-style portrait of Charlize Theron,3,Charlize Theron,Camille Pissarro
19,A Camille Pissarro-style portrait of Charlize Theron,4,Charlize Theron,Camille Pissarro
20,A Camille Pissarro-style depiction of Beth Behrs,0,Beth Behrs,Camille Pissarro
21,A Camille Pissarro-style depiction of Beth Behrs,1,Beth Behrs,Camille Pissarro
22,A Camille Pissarro-style depiction of Beth Behrs,2,Beth Behrs,Camille Pissarro
23,A Camille Pissarro-style depiction of Beth Behrs,3,Beth Behrs,Camille Pissarro
24,A Camille Pissarro-style depiction of Beth Behrs,4,Beth Behrs,Camille Pissarro
25,A Camille Pissarro-style portrait of Adam Driver,0,Adam Driver,Camille Pissarro
26,A Camille Pissarro-style portrait of Adam Driver,1,Adam Driver,Camille Pissarro
27,A Camille Pissarro-style portrait of Adam Driver,2,Adam Driver,Camille Pissarro
28,A Camille Pissarro-style portrait of Adam Driver,3,Adam Driver,Camille Pissarro
29,A Camille Pissarro-style portrait of Adam Driver,4,Adam Driver,Camille Pissarro
30,A Camille Pissarro-style depiction of Cameron Diaz,0,Cameron Diaz,Camille Pissarro
31,A Camille Pissarro-style depiction of Cameron Diaz,1,Cameron Diaz,Camille Pissarro
32,A Camille Pissarro-style depiction of Cameron Diaz,2,Cameron Diaz,Camille Pissarro
33,A Camille Pissarro-style depiction of Cameron Diaz,3,Cameron Diaz,Camille Pissarro
34,A Camille Pissarro-style depiction of Cameron Diaz,4,Cameron Diaz,Camille Pissarro
35,A Camille Pissarro-style portrait of Drew Barrymore,0,Drew Barrymore,Camille Pissarro
36,A Camille Pissarro-style portrait of Drew Barrymore,1,Drew Barrymore,Camille Pissarro
37,A Camille Pissarro-style portrait of Drew Barrymore,2,Drew Barrymore,Camille Pissarro
38,A Camille Pissarro-style portrait of Drew Barrymore,3,Drew Barrymore,Camille Pissarro
39,A Camille Pissarro-style portrait of Drew Barrymore,4,Drew Barrymore,Camille Pissarro
40,A Camille Pissarro-style depiction of Amber Heard,0,Amber Heard,Camille Pissarro
41,A Camille Pissarro-style depiction of Amber Heard,1,Amber Heard,Camille Pissarro
42,A Camille Pissarro-style depiction of Amber Heard,2,Amber Heard,Camille Pissarro
43,A Camille Pissarro-style depiction of Amber Heard,3,Amber Heard,Camille Pissarro
44,A Camille Pissarro-style depiction of Amber Heard,4,Amber Heard,Camille Pissarro
45,A Camille Pissarro-style depiction of Chris Evans,0,Chris Evans,Camille Pissarro
46,A Camille Pissarro-style depiction of Chris Evans,1,Chris Evans,Camille Pissarro
47,A Camille Pissarro-style depiction of Chris Evans,2,Chris Evans,Camille Pissarro
48,A Camille Pissarro-style depiction of Chris Evans,3,Chris Evans,Camille Pissarro
49,A Camille Pissarro-style depiction of Chris Evans,4,Chris Evans,Camille Pissarro
50,A Camille Pissarro-style portrait of Bill Clinton,0,Bill Clinton,Camille Pissarro
51,A Camille Pissarro-style portrait of Bill Clinton,1,Bill Clinton,Camille Pissarro
52,A Camille Pissarro-style portrait of Bill Clinton,2,Bill Clinton,Camille Pissarro
53,A Camille Pissarro-style portrait of Bill Clinton,3,Bill Clinton,Camille Pissarro
54,A Camille Pissarro-style portrait of Bill Clinton,4,Bill Clinton,Camille Pissarro
55,A Camille Pissarro-style portrait of Charlie Sheen,0,Charlie Sheen,Camille Pissarro
56,A Camille Pissarro-style portrait of Charlie Sheen,1,Charlie Sheen,Camille Pissarro
57,A Camille Pissarro-style portrait of Charlie Sheen,2,Charlie Sheen,Camille Pissarro
58,A Camille Pissarro-style portrait of Charlie Sheen,3,Charlie Sheen,Camille Pissarro
59,A Camille Pissarro-style portrait of Charlie Sheen,4,Charlie Sheen,Camille Pissarro
60,A Camille Pissarro-style depiction of Anna Faris,0,Anna Faris,Camille Pissarro
61,A Camille Pissarro-style depiction of Anna Faris,1,Anna Faris,Camille Pissarro
62,A Camille Pissarro-style depiction of Anna Faris,2,Anna Faris,Camille Pissarro
63,A Camille Pissarro-style depiction of Anna Faris,3,Anna Faris,Camille Pissarro
64,A Camille Pissarro-style depiction of Anna Faris,4,Anna Faris,Camille Pissarro
65,A Camille Pissarro-style portrait of Jake Gyllenhaal,0,Jake Gyllenhaal,Camille Pissarro
66,A Camille Pissarro-style portrait of Jake Gyllenhaal,1,Jake Gyllenhaal,Camille Pissarro
67,A Camille Pissarro-style portrait of Jake Gyllenhaal,2,Jake Gyllenhaal,Camille Pissarro
68,A Camille Pissarro-style portrait of Jake Gyllenhaal,3,Jake Gyllenhaal,Camille Pissarro
69,A Camille Pissarro-style portrait of Jake Gyllenhaal,4,Jake Gyllenhaal,Camille Pissarro
70,A Camille Pissarro-style depiction of Charlie Sheen,0,Charlie Sheen,Camille Pissarro
71,A Camille Pissarro-style depiction of Charlie Sheen,1,Charlie Sheen,Camille Pissarro
72,A Camille Pissarro-style depiction of Charlie Sheen,2,Charlie Sheen,Camille Pissarro
73,A Camille Pissarro-style depiction of Charlie Sheen,3,Charlie Sheen,Camille Pissarro
74,A Camille Pissarro-style depiction of Charlie Sheen,4,Charlie Sheen,Camille Pissarro
75,A Camille Pissarro-style portrait of Barack Obama,0,Barack Obama,Camille Pissarro
76,A Camille Pissarro-style portrait of Barack Obama,1,Barack Obama,Camille Pissarro
77,A Camille Pissarro-style portrait of Barack Obama,2,Barack Obama,Camille Pissarro
78,A Camille Pissarro-style portrait of Barack Obama,3,Barack Obama,Camille Pissarro
79,A Camille Pissarro-style portrait of Barack Obama,4,Barack Obama,Camille Pissarro
80,A Camille Pissarro-style depiction of Charlie Sheen,0,Charlie Sheen,Camille Pissarro
81,A Camille Pissarro-style depiction of Charlie Sheen,1,Charlie Sheen,Camille Pissarro
82,A Camille Pissarro-style depiction of Charlie Sheen,2,Charlie Sheen,Camille Pissarro
83,A Camille Pissarro-style depiction of Charlie Sheen,3,Charlie Sheen,Camille Pissarro
84,A Camille Pissarro-style depiction of Charlie Sheen,4,Charlie Sheen,Camille Pissarro
85,A Camille Pissarro-style depiction of Bradley Cooper,0,Bradley Cooper,Camille Pissarro
86,A Camille Pissarro-style depiction of Bradley Cooper,1,Bradley Cooper,Camille Pissarro
87,A Camille Pissarro-style depiction of Bradley Cooper,2,Bradley Cooper,Camille Pissarro
88,A Camille Pissarro-style depiction of Bradley Cooper,3,Bradley Cooper,Camille Pissarro
89,A Camille Pissarro-style depiction of Bradley Cooper,4,Bradley Cooper,Camille Pissarro
90,A Camille Pissarro-style depiction of Ed Sheeran,0,Ed Sheeran,Camille Pissarro
91,A Camille Pissarro-style depiction of Ed Sheeran,1,Ed Sheeran,Camille Pissarro
