,prompt,evaluation_seed,actor,art_style
0,A Canaletto-style depiction of Arnold Schwarzenegger,0,Arnold Schwarzenegger,Canaletto
1,A Canaletto-style depiction of Arnold Schwarzenegger,1,Arnold Schwarzenegger,Canaletto
2,A Canaletto-style depiction of Arnold Schwarzenegger,2,Arnold Schwarzenegger,Canaletto
3,A Canaletto-style depiction of Arnold Schwarzenegger,3,Arnold Schwarzenegger,Canaletto
4,A Canaletto-style depiction of Arnold Schwarzenegger,4,Arnold Schwarzenegger,Canaletto
5,A Canaletto-style depiction of Bob Marley,0,Arnold Schwarzenegger,Canaletto
6,A Canaletto-style depiction of Bob Marley,1,Arnold Schwarzenegger,Canaletto
7,A Canaletto-style depiction of Bob Marley,2,Arnold Schwarzenegger,Canaletto
8,A Canaletto-style depiction of Bob Marley,3,Arnold Schwarzenegger,Canaletto
9,A Canaletto-style depiction of Bob Marley,4,Arnold Schwarzenegger,Canaletto
10,An image of Bob Marley in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
11,An image of Bob Marley in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
12,An image of Bob Marley in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
13,An image of Bob Marley in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
14,An image of Bob Marley in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
15,An image of Demi Lovato in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
16,An image of Demi Lovato in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
17,An image of Demi Lovato in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
18,An image of Demi Lovato in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
19,An image of Demi Lovato in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
20,A Canaletto-style depiction of Bob Dylan,0,Arnold Schwarzenegger,Canaletto
21,A Canaletto-style depiction of Bob Dylan,1,Arnold Schwarzenegger,Canaletto
22,A Canaletto-style depiction of Bob Dylan,2,Arnold Schwarzenegger,Canaletto
23,A Canaletto-style depiction of Bob Dylan,3,Arnold Schwarzenegger,Canaletto
24,A Canaletto-style depiction of Bob Dylan,4,Arnold Schwarzenegger,Canaletto
25,An image of Harrison Ford in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
26,An image of Harrison Ford in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
27,An image of Harrison Ford in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
28,An image of Harrison Ford in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
29,An image of Harrison Ford in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
30,An image of Elvis Presley in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
31,An image of Elvis Presley in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
32,An image of Elvis Presley in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
33,An image of Elvis Presley in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
34,An image of Elvis Presley in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
35,A Canaletto-style depiction of Andrew Garfield,0,Arnold Schwarzenegger,Canaletto
36,A Canaletto-style depiction of Andrew Garfield,1,Arnold Schwarzenegger,Canaletto
37,A Canaletto-style depiction of Andrew Garfield,2,Arnold Schwarzenegger,Canaletto
38,A Canaletto-style depiction of Andrew Garfield,3,Arnold Schwarzenegger,Canaletto
39,A Canaletto-style depiction of Andrew Garfield,4,Arnold Schwarzenegger,Canaletto
40,A Canaletto-style depiction of Chris Hemsworth,0,Arnold Schwarzenegger,Canaletto
41,A Canaletto-style depiction of Chris Hemsworth,1,Arnold Schwarzenegger,Canaletto
42,A Canaletto-style depiction of Chris Hemsworth,2,Arnold Schwarzenegger,Canaletto
43,A Canaletto-style depiction of Chris Hemsworth,3,Arnold Schwarzenegger,Canaletto
44,A Canaletto-style depiction of Chris Hemsworth,4,Arnold Schwarzenegger,Canaletto
45,An image of Jake Gyllenhaal in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
46,An image of Jake Gyllenhaal in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
47,An image of Jake Gyllenhaal in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
48,An image of Jake Gyllenhaal in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
49,An image of Jake Gyllenhaal in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
50,An image of Ed Sheeran in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
51,An image of Ed Sheeran in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
52,An image of Ed Sheeran in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
53,An image of Ed Sheeran in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
54,An image of Ed Sheeran in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
55,A Canaletto-style depiction of Jennifer Lawrence,0,Arnold Schwarzenegger,Canaletto
56,A Canaletto-style depiction of Jennifer Lawrence,1,Arnold Schwarzenegger,Canaletto
57,A Canaletto-style depiction of Jennifer Lawrence,2,Arnold Schwarzenegger,Canaletto
58,A Canaletto-style depiction of Jennifer Lawrence,3,Arnold Schwarzenegger,Canaletto
59,A Canaletto-style depiction of Jennifer Lawrence,4,Arnold Schwarzenegger,Canaletto
60,An image of Jennifer Aniston in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
61,An image of Jennifer Aniston in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
62,An image of Jennifer Aniston in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
63,An image of Jennifer Aniston in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
64,An image of Jennifer Aniston in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
65,An image of Jason Momoa in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
66,An image of Jason Momoa in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
67,An image of Jason Momoa in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
68,An image of Jason Momoa in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
69,An image of Jason Momoa in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
70,An image of Anna Kendrick in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
71,An image of Anna Kendrick in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
72,An image of Anna Kendrick in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
73,An image of Anna Kendrick in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
74,An image of Anna Kendrick in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
75,An image of Bob Dylan in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
76,An image of Bob Dylan in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
77,An image of Bob Dylan in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
78,An image of Bob Dylan in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
79,An image of Bob Dylan in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
80,An image of Adriana Lima in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
81,An image of Adriana Lima in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
82,An image of Adriana Lima in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
83,An image of Adriana Lima in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
84,An image of Adriana Lima in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
85,An image of Bryan Cranston in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
86,An image of Bryan Cranston in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
87,An image of Bryan Cranston in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
88,An image of Bryan Cranston in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
89,An image of Bryan Cranston in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
90,An image of Emma Stone in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
91,An image of Emma Stone in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
92,An image of Emma Stone in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
93,An image of Emma Stone in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
94,An image of Emma Stone in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
95,A Canaletto-style depiction of Chris Evans,0,Arnold Schwarzenegger,Canaletto
96,A Canaletto-style depiction of Chris Evans,1,Arnold Schwarzenegger,Canaletto
97,A Canaletto-style depiction of Chris Evans,2,Arnold Schwarzenegger,Canaletto
98,A Canaletto-style depiction of Chris Evans,3,Arnold Schwarzenegger,Canaletto
99,A Canaletto-style depiction of Chris Evans,4,Arnold Schwarzenegger,Canaletto
100,An image of Idris Elba in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
101,An image of Idris Elba in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
102,An image of Idris Elba in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
103,An image of Idris Elba in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
104,An image of Idris Elba in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
105,A Canaletto-style depiction of George Clooney,0,Arnold Schwarzenegger,Canaletto
106,A Canaletto-style depiction of George Clooney,1,Arnold Schwarzenegger,Canaletto
107,A Canaletto-style depiction of George Clooney,2,Arnold Schwarzenegger,Canaletto
108,A Canaletto-style depiction of George Clooney,3,Arnold Schwarzenegger,Canaletto
109,A Canaletto-style depiction of George Clooney,4,Arnold Schwarzenegger,Canaletto
110,A Canaletto-style depiction of Frida Kahlo,0,Arnold Schwarzenegger,Canaletto
111,A Canaletto-style depiction of Frida Kahlo,1,Arnold Schwarzenegger,Canaletto
112,A Canaletto-style depiction of Frida Kahlo,2,Arnold Schwarzenegger,Canaletto
113,A Canaletto-style depiction of Frida Kahlo,3,Arnold Schwarzenegger,Canaletto
114,A Canaletto-style depiction of Frida Kahlo,4,Arnold Schwarzenegger,Canaletto
115,A Canaletto-style depiction of Drake,0,Arnold Schwarzenegger,Canaletto
116,A Canaletto-style depiction of Drake,1,Arnold Schwarzenegger,Canaletto
117,A Canaletto-style depiction of Drake,2,Arnold Schwarzenegger,Canaletto
118,A Canaletto-style depiction of Drake,3,Arnold Schwarzenegger,Canaletto
119,A Canaletto-style depiction of Drake,4,Arnold Schwarzenegger,Canaletto
120,An image of Drew Barrymore in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
121,An image of Drew Barrymore in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
122,An image of Drew Barrymore in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
123,An image of Drew Barrymore in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
124,An image of Drew Barrymore in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
125,An image of Chris Hemsworth in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
126,An image of Chris Hemsworth in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
127,An image of Chris Hemsworth in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
128,An image of Chris Hemsworth in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
129,An image of Chris Hemsworth in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
130,A Canaletto-style depiction of Idris Elba,0,Arnold Schwarzenegger,Canaletto
131,A Canaletto-style depiction of Idris Elba,1,Arnold Schwarzenegger,Canaletto
132,A Canaletto-style depiction of Idris Elba,2,Arnold Schwarzenegger,Canaletto
133,A Canaletto-style depiction of Idris Elba,3,Arnold Schwarzenegger,Canaletto
134,A Canaletto-style depiction of Idris Elba,4,Arnold Schwarzenegger,Canaletto
135,An image of Bill Clinton in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
136,An image of Bill Clinton in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
137,An image of Bill Clinton in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
138,An image of Bill Clinton in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
139,An image of Bill Clinton in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
140,A Canaletto-style depiction of Bruce Willis,0,Arnold Schwarzenegger,Canaletto
141,A Canaletto-style depiction of Bruce Willis,1,Arnold Schwarzenegger,Canaletto
142,A Canaletto-style depiction of Bruce Willis,2,Arnold Schwarzenegger,Canaletto
143,A Canaletto-style depiction of Bruce Willis,3,Arnold Schwarzenegger,Canaletto
144,A Canaletto-style depiction of Bruce Willis,4,Arnold Schwarzenegger,Canaletto
145,An image of Andrew Garfield in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
146,An image of Andrew Garfield in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
147,An image of Andrew Garfield in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
148,An image of Andrew Garfield in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
149,An image of Andrew Garfield in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
150,An image of Glenn Close in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
151,An image of Glenn Close in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
152,An image of Glenn Close in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
153,An image of Glenn Close in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
154,An image of Glenn Close in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
155,A Canaletto-style depiction of Bill Clinton,0,Arnold Schwarzenegger,Canaletto
156,A Canaletto-style depiction of Bill Clinton,1,Arnold Schwarzenegger,Canaletto
157,A Canaletto-style depiction of Bill Clinton,2,Arnold Schwarzenegger,Canaletto
158,A Canaletto-style depiction of Bill Clinton,3,Arnold Schwarzenegger,Canaletto
159,A Canaletto-style depiction of Bill Clinton,4,Arnold Schwarzenegger,Canaletto
160,An image of Jennifer Lawrence in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
161,An image of Jennifer Lawrence in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
162,An image of Jennifer Lawrence in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
163,An image of Jennifer Lawrence in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
164,An image of Jennifer Lawrence in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
165,A Canaletto-style depiction of Ed Sheeran,0,Arnold Schwarzenegger,Canaletto
166,A Canaletto-style depiction of Ed Sheeran,1,Arnold Schwarzenegger,Canaletto
167,A Canaletto-style depiction of Ed Sheeran,2,Arnold Schwarzenegger,Canaletto
168,A Canaletto-style depiction of Ed Sheeran,3,Arnold Schwarzenegger,Canaletto
169,A Canaletto-style depiction of Ed Sheeran,4,Arnold Schwarzenegger,Canaletto
170,A Canaletto-style depiction of Elon Musk,0,Arnold Schwarzenegger,Canaletto
171,A Canaletto-style depiction of Elon Musk,1,Arnold Schwarzenegger,Canaletto
172,A Canaletto-style depiction of Elon Musk,2,Arnold Schwarzenegger,Canaletto
173,A Canaletto-style depiction of Elon Musk,3,Arnold Schwarzenegger,Canaletto
174,A Canaletto-style depiction of Elon Musk,4,Arnold Schwarzenegger,Canaletto
175,A Canaletto-style depiction of Channing Tatum,0,Arnold Schwarzenegger,Canaletto
176,A Canaletto-style depiction of Channing Tatum,1,Arnold Schwarzenegger,Canaletto
177,A Canaletto-style depiction of Channing Tatum,2,Arnold Schwarzenegger,Canaletto
178,A Canaletto-style depiction of Channing Tatum,3,Arnold Schwarzenegger,Canaletto
179,A Canaletto-style depiction of Channing Tatum,4,Arnold Schwarzenegger,Canaletto
180,An image of Anjelica Huston in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
181,An image of Anjelica Huston in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
182,An image of Anjelica Huston in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
183,An image of Anjelica Huston in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
184,An image of Anjelica Huston in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
185,A Canaletto-style depiction of Charlie Sheen,0,Arnold Schwarzenegger,Canaletto
186,A Canaletto-style depiction of Charlie Sheen,1,Arnold Schwarzenegger,Canaletto
187,A Canaletto-style depiction of Charlie Sheen,2,Arnold Schwarzenegger,Canaletto
188,A Canaletto-style depiction of Charlie Sheen,3,Arnold Schwarzenegger,Canaletto
189,A Canaletto-style depiction of Charlie Sheen,4,Arnold Schwarzenegger,Canaletto
190,An image of Amber Heard in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
191,An image of Amber Heard in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
192,An image of Amber Heard in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
193,An image of Amber Heard in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
194,An image of Amber Heard in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
195,An image of Drake in the-style of Canaletto,0,Arnold Schwarzenegger,Canaletto
196,An image of Drake in the-style of Canaletto,1,Arnold Schwarzenegger,Canaletto
197,An image of Drake in the-style of Canaletto,2,Arnold Schwarzenegger,Canaletto
198,An image of Drake in the-style of Canaletto,3,Arnold Schwarzenegger,Canaletto
199,An image of Drake in the-style of Canaletto,4,Arnold Schwarzenegger,Canaletto
200,A Canaletto-style depiction of Chris Pine,0,Arnold Schwarzenegger,Canaletto
201,A Canaletto-style depiction of Chris Pine,1,Arnold Schwarzenegger,Canaletto
202,A Canaletto-style depiction of Chris Pine,2,Arnold Schwarzenegger,Canaletto
203,A Canaletto-style depiction of Chris Pine,3,Arnold Schwarzenegger,Canaletto
204,A Canaletto-style depiction of Chris Pine,4,Arnold Schwarzenegger,Canaletto
