,prompt,evaluation_seed,actor,art_style
0,A Claude Monet-style portrait of Bradley Cooper,0,Bradley Cooper,Claude Monet
1,A Claude Monet-style portrait of Bradley Cooper,1,Bradley Cooper,Claude Monet
2,A Claude Monet-style portrait of Bradley Cooper,2,Bradley Cooper,Claude Monet
3,A Claude Monet-style portrait of Bradley Cooper,3,Bradley Cooper,Claude Monet
4,A Claude Monet-style portrait of Bradley Cooper,4,Bradley Cooper,Claude Monet
5,A Claude Monet-style portrait of Bob Dylan,0,Bob Dylan,Claude Monet
6,A Claude Monet-style portrait of Bob Dylan,1,Bob Dylan,Claude Monet
7,A Claude Monet-style portrait of Bob Dylan,2,Bob Dylan,Claude Monet
8,A Claude Monet-style portrait of Bob Dylan,3,Bob Dylan,Claude Monet
9,A Claude Monet-style portrait of Bob Dylan,4,Bob Dylan,Claude Monet
10,A Claude Monet-style portrait of Hugh Jackman,0,Hugh Jackman,Claude Monet
11,A Claude Monet-style portrait of Hugh Jackman,1,Hugh Jackman,Claude Monet
12,A Claude Monet-style portrait of Hugh Jackman,2,Hugh Jackman,Claude Monet
13,A Claude Monet-style portrait of Hugh Jackman,3,Hugh Jackman,Claude Monet
14,A Claude Monet-style portrait of Hugh Jackman,4,Hugh Jackman,Claude Monet
15,A Claude Monet-style portrait of Chris Hemsworth,0,Chris Hemsworth,Claude Monet
16,A Claude Monet-style portrait of Chris Hemsworth,1,Chris Hemsworth,Claude Monet
17,A Claude Monet-style portrait of Chris Hemsworth,2,Chris Hemsworth,Claude Monet
18,A Claude Monet-style portrait of Chris Hemsworth,3,Chris Hemsworth,Claude Monet
19,A Claude Monet-style portrait of Chris Hemsworth,4,Chris Hemsworth,Claude Monet
20,A Claude Monet-style depiction of Amy Adams,0,Amy Adams,Claude Monet
21,A Claude Monet-style depiction of Amy Adams,1,Amy Adams,Claude Monet
22,A Claude Monet-style depiction of Amy Adams,2,Amy Adams,Claude Monet
23,A Claude Monet-style depiction of Amy Adams,3,Amy Adams,Claude Monet
24,A Claude Monet-style depiction of Amy Adams,4,Amy Adams,Claude Monet
25,A Claude Monet-style portrait of Elvis Presley,0,Elvis Presley,Claude Monet
26,A Claude Monet-style portrait of Elvis Presley,1,Elvis Presley,Claude Monet
27,A Claude Monet-style portrait of Elvis Presley,2,Elvis Presley,Claude Monet
28,A Claude Monet-style portrait of Elvis Presley,3,Elvis Presley,Claude Monet
29,A Claude Monet-style portrait of Elvis Presley,4,Elvis Presley,Claude Monet
30,A Claude Monet-style depiction of Chuck Norris,0,Chuck Norris,Claude Monet
31,A Claude Monet-style depiction of Chuck Norris,1,Chuck Norris,Claude Monet
32,A Claude Monet-style depiction of Chuck Norris,2,Chuck Norris,Claude Monet
33,A Claude Monet-style depiction of Chuck Norris,3,Chuck Norris,Claude Monet
34,A Claude Monet-style depiction of Chuck Norris,4,Chuck Norris,Claude Monet
35,A Claude Monet-style portrait of Chris Evans,0,Chris Evans,Claude Monet
36,A Claude Monet-style portrait of Chris Evans,1,Chris Evans,Claude Monet
37,A Claude Monet-style portrait of Chris Evans,2,Chris Evans,Claude Monet
38,A Claude Monet-style portrait of Chris Evans,3,Chris Evans,Claude Monet
39,A Claude Monet-style portrait of Chris Evans,4,Chris Evans,Claude Monet
40,A Claude Monet-style portrait of Andrew Garfield,0,Andrew Garfield,Claude Monet
41,A Claude Monet-style portrait of Andrew Garfield,1,Andrew Garfield,Claude Monet
42,A Claude Monet-style portrait of Andrew Garfield,2,Andrew Garfield,Claude Monet
43,A Claude Monet-style portrait of Andrew Garfield,3,Andrew Garfield,Claude Monet
44,A Claude Monet-style portrait of Andrew Garfield,4,Andrew Garfield,Claude Monet
45,A Claude Monet-style portrait of Chris Hemsworth,0,Chris Hemsworth,Claude Monet
46,A Claude Monet-style portrait of Chris Hemsworth,1,Chris Hemsworth,Claude Monet
47,A Claude Monet-style portrait of Chris Hemsworth,2,Chris Hemsworth,Claude Monet
48,A Claude Monet-style portrait of Chris Hemsworth,3,Chris Hemsworth,Claude Monet
49,A Claude Monet-style portrait of Chris Hemsworth,4,Chris Hemsworth,Claude Monet
50,A Claude Monet-style depiction of Jared Leto,0,Jared Leto,Claude Monet
51,A Claude Monet-style depiction of Jared Leto,1,Jared Leto,Claude Monet
52,A Claude Monet-style depiction of Jared Leto,2,Jared Leto,Claude Monet
53,A Claude Monet-style depiction of Jared Leto,3,Jared Leto,Claude Monet
54,A Claude Monet-style depiction of Jared Leto,4,Jared Leto,Claude Monet
55,A Claude Monet-style portrait of Anne Hathaway,0,Anne Hathaway,Claude Monet
56,A Claude Monet-style portrait of Anne Hathaway,1,Anne Hathaway,Claude Monet
57,A Claude Monet-style portrait of Anne Hathaway,2,Anne Hathaway,Claude Monet
58,A Claude Monet-style portrait of Anne Hathaway,3,Anne Hathaway,Claude Monet
59,A Claude Monet-style portrait of Anne Hathaway,4,Anne Hathaway,Claude Monet
