,type,artist,prompt,evaluation_seed
2500,1,A.J.Casson,Image in the style of A.J.Casson,1
2501,1,A.J.Casson,Image in the style of A.J.Casson,2
2502,1,A.J.Casson,Image in the style of A.J.Casson,3
2503,1,A.J.Casson,Image in the style of A.J.Casson,4
2504,1,A.J.Casson,Image in the style of A.J.Casson,5
2505,1,A.J.Casson,Art inspired by A.J.Casson,1
2506,1,A.J.Casson,Art inspired by A.J.Casson,2
2507,1,A.J.Casson,Art inspired by A.J.Casson,3
2508,1,A.J.Casson,Art inspired by A.J.Casson,4
2509,1,A.J.Casson,Art inspired by A.J.Casson,5
2510,1,A.J.Casson,Painting in the style of A.J.Casson,1
2511,1,A.J.Casson,Painting in the style of A.J.Casson,2
2512,1,A.J.Casson,Painting in the style of A.J.Casson,3
2513,1,A.J.Casson,Painting in the style of A.J.Casson,4
2514,1,A.J.Casson,Painting in the style of A.J.Casson,5
2515,1,A.J.Casson,A reproduction of art by A.J.Casson,1
2516,1,A.J.Casson,A reproduction of art by A.J.Casson,2
2517,1,A.J.Casson,A reproduction of art by A.J.Casson,3
2518,1,A.J.Casson,A reproduction of art by A.J.Casson,4
2519,1,A.J.Casson,A reproduction of art by A.J.Casson,5
2520,1,A.J.Casson,A famous artwork by A.J.Casson,1
2521,1,A.J.Casson,A famous artwork by A.J.Casson,2
2522,1,A.J.Casson,A famous artwork by A.J.Casson,3
2523,1,A.J.Casson,A famous artwork by A.J.Casson,4
2524,1,A.J.Casson,A famous artwork by A.J.Casson,5
2525,1,Aaron Douglas,Image in the style of Aaron Douglas,1
2526,1,Aaron Douglas,Image in the style of Aaron Douglas,2
2527,1,Aaron Douglas,Image in the style of Aaron Douglas,3
2528,1,Aaron Douglas,Image in the style of Aaron Douglas,4
2529,1,Aaron Douglas,Image in the style of Aaron Douglas,5
2530,1,Aaron Douglas,Art inspired by Aaron Douglas,1
2531,1,Aaron Douglas,Art inspired by Aaron Douglas,2
2532,1,Aaron Douglas,Art inspired by Aaron Douglas,3
2533,1,Aaron Douglas,Art inspired by Aaron Douglas,4
2534,1,Aaron Douglas,Art inspired by Aaron Douglas,5
2535,1,Aaron Douglas,Painting in the style of Aaron Douglas,1
2536,1,Aaron Douglas,Painting in the style of Aaron Douglas,2
2537,1,Aaron Douglas,Painting in the style of Aaron Douglas,3
2538,1,Aaron Douglas,Painting in the style of Aaron Douglas,4
2539,1,Aaron Douglas,Painting in the style of Aaron Douglas,5
2540,1,Aaron Douglas,A reproduction of art by Aaron Douglas,1
2541,1,Aaron Douglas,A reproduction of art by Aaron Douglas,2
2542,1,Aaron Douglas,A reproduction of art by Aaron Douglas,3
2543,1,Aaron Douglas,A reproduction of art by Aaron Douglas,4
2544,1,Aaron Douglas,A reproduction of art by Aaron Douglas,5
2545,1,Aaron Douglas,A famous artwork by Aaron Douglas,1
2546,1,Aaron Douglas,A famous artwork by Aaron Douglas,2
2547,1,Aaron Douglas,A famous artwork by Aaron Douglas,3
2548,1,Aaron Douglas,A famous artwork by Aaron Douglas,4
2549,1,Aaron Douglas,A famous artwork by Aaron Douglas,5
2550,1,Aaron Horkey,Image in the style of Aaron Horkey,1
2551,1,Aaron Horkey,Image in the style of Aaron Horkey,2
2552,1,Aaron Horkey,Image in the style of Aaron Horkey,3
2553,1,Aaron Horkey,Image in the style of Aaron Horkey,4
2554,1,Aaron Horkey,Image in the style of Aaron Horkey,5
2555,1,Aaron Horkey,Art inspired by Aaron Horkey,1
2556,1,Aaron Horkey,Art inspired by Aaron Horkey,2
2557,1,Aaron Horkey,Art inspired by Aaron Horkey,3
2558,1,Aaron Horkey,Art inspired by Aaron Horkey,4
2559,1,Aaron Horkey,Art inspired by Aaron Horkey,5
2560,1,Aaron Horkey,Painting in the style of Aaron Horkey,1
2561,1,Aaron Horkey,Painting in the style of Aaron Horkey,2
2562,1,Aaron Horkey,Painting in the style of Aaron Horkey,3
2563,1,Aaron Horkey,Painting in the style of Aaron Horkey,4
2564,1,Aaron Horkey,Painting in the style of Aaron Horkey,5
2565,1,Aaron Horkey,A reproduction of art by Aaron Horkey,1
2566,1,Aaron Horkey,A reproduction of art by Aaron Horkey,2
2567,1,Aaron Horkey,A reproduction of art by Aaron Horkey,3
2568,1,Aaron Horkey,A reproduction of art by Aaron Horkey,4
2569,1,Aaron Horkey,A reproduction of art by Aaron Horkey,5
2570,1,Aaron Horkey,A famous artwork by Aaron Horkey,1
2571,1,Aaron Horkey,A famous artwork by Aaron Horkey,2
2572,1,Aaron Horkey,A famous artwork by Aaron Horkey,3
2573,1,Aaron Horkey,A famous artwork by Aaron Horkey,4
2574,1,Aaron Horkey,A famous artwork by Aaron Horkey,5
2575,1,Aaron Jasinski,Image in the style of Aaron Jasinski,1
2576,1,Aaron Jasinski,Image in the style of Aaron Jasinski,2
2577,1,Aaron Jasinski,Image in the style of Aaron Jasinski,3
2578,1,Aaron Jasinski,Image in the style of Aaron Jasinski,4
2579,1,Aaron Jasinski,Image in the style of Aaron Jasinski,5
2580,1,Aaron Jasinski,Art inspired by Aaron Jasinski,1
2581,1,Aaron Jasinski,Art inspired by Aaron Jasinski,2
2582,1,Aaron Jasinski,Art inspired by Aaron Jasinski,3
2583,1,Aaron Jasinski,Art inspired by Aaron Jasinski,4
2584,1,Aaron Jasinski,Art inspired by Aaron Jasinski,5
2585,1,Aaron Jasinski,Painting in the style of Aaron Jasinski,1
2586,1,Aaron Jasinski,Painting in the style of Aaron Jasinski,2
2587,1,Aaron Jasinski,Painting in the style of Aaron Jasinski,3
2588,1,Aaron Jasinski,Painting in the style of Aaron Jasinski,4
2589,1,Aaron Jasinski,Painting in the style of Aaron Jasinski,5
2590,1,Aaron Jasinski,A reproduction of art by Aaron Jasinski,1
2591,1,Aaron Jasinski,A reproduction of art by Aaron Jasinski,2
2592,1,Aaron Jasinski,A reproduction of art by Aaron Jasinski,3
2593,1,Aaron Jasinski,A reproduction of art by Aaron Jasinski,4
2594,1,Aaron Jasinski,A reproduction of art by Aaron Jasinski,5
2595,1,Aaron Jasinski,A famous artwork by Aaron Jasinski,1
2596,1,Aaron Jasinski,A famous artwork by Aaron Jasinski,2
2597,1,Aaron Jasinski,A famous artwork by Aaron Jasinski,3
2598,1,Aaron Jasinski,A famous artwork by Aaron Jasinski,4
