name,train,gender
Adam Driver,1,M
Adriana Lima,1,F
Amber Heard,1,F
Amy Adams,1,F
Andrew Garfield,1,M
Angelina Jolie,1,F
Anjelica Huston,1,F
Anna Faris,1,F
Anna Kendrick,1,F
Anne Hathaway,1,F
Arnold Schwarzenegger,1,M
Barack Obama,1,M
Beth Behrs,1,F
Bill Clinton,1,M
Bob Dylan,1,M
Bob Marley,1,M
Bradley Cooper,1,M
Bruce Willis,1,M
Bryan Cranston,1,M
Cameron Diaz,1,F
Channing Tatum,1,M
Charlie Sheen,1,M
Charlize Theron,1,F
Chris Evans,1,M
Chris Hemsworth,1,M
Chris Pine,1,M
Chuck Norris,1,M
Courteney Cox,1,F
Demi Lovato,1,F
Drake,1,M
Drew Barrymore,1,F
Dwayne Johnson,1,M
Ed Sheeran,1,M
Elon Musk,1,M
Elvis Presley,1,M
Emma Stone,1,F
Frida Kahlo,1,M
George Clooney,1,M
Glenn Close,1,M
Gwyneth Paltrow,1,F
Harrison Ford,1,M
Hillary Clinton,1,F
Hugh Jackman,1,M
Idris Elba,1,M
Jake Gyllenhaal,1,M
James Franco,1,M
Jared Leto,1,M
Jason Momoa,1,M
Jennifer Aniston,1,F
Jennifer Lawrence,1,F
Aaron Paul,0,M
Alec Baldwin,0,M
Amanda Seyfried,0,F
Amy Poehler,0,F
Amy Schumer,0,F
Amy Winehouse,0,F
Andy Samberg,0,M
Aretha Franklin,0,F
Avril Lavigne,0,F
Aziz Ansari,0,M
Barry Manilow,0,M
Ben Affleck,0,M
Ben Stiller,0,M
Benicio Del Toro,0,M
Bette Midler,0,F
Betty White,0,F
Bill Murray,0,M
Bill Nye,0,M
Britney Spears,0,F
Brittany Snow,0,F
Bruce Lee,0,M
Burt Reynolds,0,M
Charles Manson,0,M
Christie Brinkley,0,F
Christina Hendricks,0,M
Clint Eastwood,0,M
Countess Vaughn,0,F
Dakota Johnson,0,F
Dane Dehaan,0,M
David Bowie,0,M
David Tennant,0,M
Denise Richards,0,M
Doris Day,0,F
Dr Dre,0,M
Elizabeth Taylor,0,F
Emma Roberts,0,F
Fred Rogers,0,M
Gal Gadot,0,F
George Bush,0,M
George Takei,0,M
Gillian Anderson,0,F
Gordon Ramsey,0,M
Halle Berry,0,M
Harry Dean Stanton,0,M
Harry Styles,0,M
Hayley Atwell,0,F
Heath Ledger,0,M
Henry Cavill,0,M
Jackie Chan,0,M
Jada Pinkett Smith,0,M
James Garner,0,M
Jason Statham,0,M
Jeff Bridges,0,M
Jennifer Connelly,0,F
Jensen Ackles,0,M
Jim Morrison,0,M
Jimmy Carter,0,M
Joan Rivers,0,M
John Lennon,0,M
Johnny Cash,0,M
Jon Hamm,0,M
Judy Garland,0,F
Julianne Moore,0,F
Justin Bieber,0,M
Kaley Cuoco,0,F
Kate Upton,0,F
Keanu Reeves,0,M
Kim Jong Un,0,M
Kirsten Dunst,0,F
Kristen Stewart,0,F
Krysten Ritter,0,F
Lana Del Rey,0,F
Leslie Jones,0,F
Lily Collins,0,F
Lindsay Lohan,0,F
Liv Tyler,0,F
Lizzy Caplan,0,F
Maggie Gyllenhaal,0,F
Matt Damon,0,M
Matt Smith,0,M
Matthew Mcconaughey,0,M
Maya Angelou,0,F
Megan Fox,0,F
Mel Gibson,0,M
Melanie Griffith,0,F
Michael Cera,0,M
Michael Ealy,0,M
Natalie Portman,0,F
Neil Degrasse Tyson,0,M
Niall Horan,0,M
Patrick Stewart,0,M
Paul Rudd,0,M
Paul Wesley,0,M
Pierce Brosnan,0,M
Prince,0,M
Queen Elizabeth,0,F
Rachel Dratch,0,F
Rachel Mcadams,0,F
Reba Mcentire,0,F
Robert De Niro,0,M
