,filename,prompt,evaluation_seed
0,o_A-portrait-of-Aaron-Paul-and-Anjelica-Huston_0_0.jpg,A portrait of Aaron Paul and Anjelica Huston,0
1,o_A-portrait-of-Aaron-Paul-and-Anjelica-Huston_2_0.jpg,A portrait of Aaron Paul and Anjelica Huston,2
2,o_A-portrait-of-Adriana-Lima-and-Ben-Stiller_1_0.jpg,A portrait of Adriana Lima and Ben Stiller,1
3,o_A-portrait-of-Adriana-Lima-and-Robert-De-Niro_1_0.jpg,A portrait of Adriana Lima and Robert De Niro,1
4,o_A-portrait-of-Alec-Baldwin-and-Anjelica-Huston_0_0.jpg,A portrait of Alec Baldwin and Anjelica Huston,0
5,o_A-portrait-of-Alec-Baldwin-and-Jennifer-Lawrence_0_0.jpg,A portrait of Alec Baldwin and Jennifer Lawrence,0
6,o_A-portrait-of-Amanda-Seyfried-and-Bob-Dylan_1_0.jpg,A portrait of Amanda Seyfried and Bob Dylan,1
7,o_A-portrait-of-Amanda-Seyfried-and-Bob-Dylan_4_0.jpg,A portrait of Amanda Seyfried and Bob Dylan,4
8,o_A-portrait-of-Amber-Heard-and-Michael-Cera_1_0.jpg,A portrait of Amber Heard and Michael Cera,1
9,o_A-portrait-of-Amy-Adams-and-Jackie-Chan_0_0.jpg,A portrait of Amy Adams and Jackie Chan,0
10,o_A-portrait-of-Amy-Adams-and-Patrick-Stewart_0_0.jpg,A portrait of Amy Adams and Patrick Stewart,0
11,o_A-portrait-of-Amy-Adams-and-Patrick-Stewart_1_0.jpg,A portrait of Amy Adams and Patrick Stewart,1
12,o_A-portrait-of-Amy-Poehler-and-Chris-Hemsworth_0_0.jpg,A portrait of Amy Poehler and Chris Hemsworth,0
13,o_A-portrait-of-Amy-Poehler-and-Chris-Hemsworth_4_0.jpg,A portrait of Amy Poehler and Chris Hemsworth,4
14,o_A-portrait-of-Anna-Faris-and-Dane-Dehaan_4_0.jpg,A portrait of Anna Faris and Dane Dehaan,4
15,o_A-portrait-of-Anna-Kendrick-and-Jada-Pinkett-Smith_3_0.jpg,A portrait of Anna Kendrick and Jada Pinkett Smith,3
16,o_A-portrait-of-Anna-Kendrick-and-Jada-Pinkett-Smith_4_0.jpg,A portrait of Anna Kendrick and Jada Pinkett Smith,4
17,o_A-portrait-of-Anna-Kendrick-and-Matthew-Mcconaughey_0_0.jpg,A portrait of Anna Kendrick and Matthew Mcconaughey,0
18,o_A-portrait-of-Anna-Kendrick-and-Matthew-Mcconaughey_1_0.jpg,A portrait of Anna Kendrick and Matthew Mcconaughey,1
19,o_A-portrait-of-Anna-Kendrick-and-Matthew-Mcconaughey_3_0.jpg,A portrait of Anna Kendrick and Matthew Mcconaughey,3
20,o_A-portrait-of-Anna-Kendrick-and-Matthew-Mcconaughey_4_0.jpg,A portrait of Anna Kendrick and Matthew Mcconaughey,4
21,o_A-portrait-of-Anne-Hathaway-and-Jason-Statham_1_0.jpg,A portrait of Anne Hathaway and Jason Statham,1
22,o_A-portrait-of-Anne-Hathaway-and-Jason-Statham_3_0.jpg,A portrait of Anne Hathaway and Jason Statham,3
23,o_A-portrait-of-Anne-Hathaway-and-Michael-Ealy_0_0.jpg,A portrait of Anne Hathaway and Michael Ealy,0
24,o_A-portrait-of-Anne-Hathaway-and-Michael-Ealy_3_0.jpg,A portrait of Anne Hathaway and Michael Ealy,3
25,o_A-portrait-of-Aretha-Franklin-and-Charlie-Sheen_1_0.jpg,A portrait of Aretha Franklin and Charlie Sheen,1
26,o_A-portrait-of-Aretha-Franklin-and-Elon-Musk_1_0.jpg,A portrait of Aretha Franklin and Elon Musk,1
27,o_A-portrait-of-Aretha-Franklin-and-Elon-Musk_3_0.jpg,A portrait of Aretha Franklin and Elon Musk,3
28,o_A-portrait-of-Aretha-Franklin-and-Elon-Musk_4_0.jpg,A portrait of Aretha Franklin and Elon Musk,4
29,o_A-portrait-of-Aretha-Franklin-and-James-Franco_0_0.jpg,A portrait of Aretha Franklin and James Franco,0
30,o_A-portrait-of-Aretha-Franklin-and-James-Franco_1_0.jpg,A portrait of Aretha Franklin and James Franco,1
31,o_A-portrait-of-Arnold-Schwarzenegger-and-Brittany-Snow_1_0.jpg,A portrait of Arnold Schwarzenegger and Brittany Snow,1
32,o_A-portrait-of-Arnold-Schwarzenegger-and-Emma-Roberts_0_0.jpg,A portrait of Arnold Schwarzenegger and Emma Roberts,0
33,o_A-portrait-of-Arnold-Schwarzenegger-and-Emma-Roberts_1_0.jpg,A portrait of Arnold Schwarzenegger and Emma Roberts,1
34,o_A-portrait-of-Arnold-Schwarzenegger-and-Emma-Roberts_3_0.jpg,A portrait of Arnold Schwarzenegger and Emma Roberts,3
35,o_A-portrait-of-Arnold-Schwarzenegger-and-Gal-Gadot_1_0.jpg,A portrait of Arnold Schwarzenegger and Gal Gadot,1
36,o_A-portrait-of-Arnold-Schwarzenegger-and-Gal-Gadot_2_0.jpg,A portrait of Arnold Schwarzenegger and Gal Gadot,2
37,o_A-portrait-of-Avril-Lavigne-and-Idris-Elba_1_0.jpg,A portrait of Avril Lavigne and Idris Elba,1
38,o_A-portrait-of-Avril-Lavigne-and-James-Franco_3_0.jpg,A portrait of Avril Lavigne and James Franco,3
39,o_A-portrait-of-Aziz-Ansari-and-Emma-Stone_0_0.jpg,A portrait of Aziz Ansari and Emma Stone,0
40,o_A-portrait-of-Aziz-Ansari-and-Emma-Stone_2_0.jpg,A portrait of Aziz Ansari and Emma Stone,2
41,o_A-portrait-of-Ben-Stiller-and-Anjelica-Huston_0_0.jpg,A portrait of Ben Stiller and Anjelica Huston,0
42,o_A-portrait-of-Ben-Stiller-and-Anjelica-Huston_1_0.jpg,A portrait of Ben Stiller and Anjelica Huston,1
43,o_A-portrait-of-Ben-Stiller-and-Anjelica-Huston_2_0.jpg,A portrait of Ben Stiller and Anjelica Huston,2
44,o_A-portrait-of-Ben-Stiller-and-Anjelica-Huston_4_0.jpg,A portrait of Ben Stiller and Anjelica Huston,4
45,o_A-portrait-of-Benicio-Del-Toro-and-Angelina-Jolie_2_0.jpg,A portrait of Benicio Del Toro and Angelina Jolie,2
46,o_A-portrait-of-Benicio-Del-Toro-and-Anna-Kendrick_0_0.jpg,A portrait of Benicio Del Toro and Anna Kendrick,0
47,o_A-portrait-of-Benicio-Del-Toro-and-Drew-Barrymore_0_0.jpg,A portrait of Benicio Del Toro and Drew Barrymore,0
48,o_A-portrait-of-Benicio-Del-Toro-and-Drew-Barrymore_4_0.jpg,A portrait of Benicio Del Toro and Drew Barrymore,4
49,o_A-portrait-of-Bette-Midler-and-Andrew-Garfield_4_0.jpg,A portrait of Bette Midler and Andrew Garfield,4
50,o_A-portrait-of-Bette-Midler-and-Elon-Musk_3_0.jpg,A portrait of Bette Midler and Elon Musk,3
51,o_A-portrait-of-Betty-White-and-Hugh-Jackman_0_0.jpg,A portrait of Betty White and Hugh Jackman,0
52,o_A-portrait-of-Betty-White-and-Hugh-Jackman_3_0.jpg,A portrait of Betty White and Hugh Jackman,3
53,o_A-portrait-of-Bill-Clinton-and-Bette-Midler_1_0.jpg,A portrait of Bill Clinton and Bette Midler,1
54,o_A-portrait-of-Bill-Clinton-and-Bette-Midler_3_0.jpg,A portrait of Bill Clinton and Bette Midler,3
55,o_A-portrait-of-Bill-Clinton-and-Bette-Midler_4_0.jpg,A portrait of Bill Clinton and Bette Midler,4
56,o_A-portrait-of-Bill-Clinton-and-Kaley-Cuoco_2_0.jpg,A portrait of Bill Clinton and Kaley Cuoco,2
57,o_A-portrait-of-Bill-Clinton-and-Rachel-Dratch_0_0.jpg,A portrait of Bill Clinton and Rachel Dratch,0
58,o_A-portrait-of-Bill-Murray-and-Angelina-Jolie_0_0.jpg,A portrait of Bill Murray and Angelina Jolie,0
59,o_A-portrait-of-Bill-Murray-and-Angelina-Jolie_1_0.jpg,A portrait of Bill Murray and Angelina Jolie,1
60,o_A-portrait-of-Bill-Murray-and-Angelina-Jolie_4_0.jpg,A portrait of Bill Murray and Angelina Jolie,4
61,o_A-portrait-of-Bill-Murray-and-Drew-Barrymore_0_0.jpg,A portrait of Bill Murray and Drew Barrymore,0
62,o_A-portrait-of-Bill-Murray-and-Drew-Barrymore_1_0.jpg,A portrait of Bill Murray and Drew Barrymore,1
63,o_A-portrait-of-Bill-Murray-and-Drew-Barrymore_3_0.jpg,A portrait of Bill Murray and Drew Barrymore,3
64,o_A-portrait-of-Bill-Murray-and-Drew-Barrymore_4_0.jpg,A portrait of Bill Murray and Drew Barrymore,4
65,o_A-portrait-of-Bob-Dylan-and-Aretha-Franklin_0_0.jpg,A portrait of Bob Dylan and Aretha Franklin,0
66,o_A-portrait-of-Bob-Dylan-and-Aretha-Franklin_1_0.jpg,A portrait of Bob Dylan and Aretha Franklin,1
67,o_A-portrait-of-Bob-Dylan-and-Aretha-Franklin_3_0.jpg,A portrait of Bob Dylan and Aretha Franklin,3
68,o_A-portrait-of-Bob-Dylan-and-Kate-Upton_0_0.jpg,A portrait of Bob Dylan and Kate Upton,0
69,o_A-portrait-of-Bob-Dylan-and-Kate-Upton_1_0.jpg,A portrait of Bob Dylan and Kate Upton,1
70,o_A-portrait-of-Bob-Dylan-and-Kate-Upton_3_0.jpg,A portrait of Bob Dylan and Kate Upton,3
71,o_A-portrait-of-Bob-Dylan-and-Kate-Upton_4_0.jpg,A portrait of Bob Dylan and Kate Upton,4
