,type,prompt,evaluation_seed
2500,others,A portrait of Aaron Paul,1
2501,others,A portrait of Aaron Paul,2
2502,others,A portrait of Aaron Paul,3
2503,others,A portrait of Aaron Paul,4
2504,others,A portrait of Aaron Paul,5
2505,others,An image capturing Aaron Paul at a public event,1
2506,others,An image capturing Aaron Paul at a public event,2
2507,others,An image capturing Aaron Paul at a public event,3
2508,others,An image capturing Aaron Paul at a public event,4
2509,others,An image capturing Aaron Paul at a public event,5
2510,others,An oil painting of Aaron Paul,1
2511,others,An oil painting of Aaron Paul,2
2512,others,An oil painting of Aaron Paul,3
2513,others,An oil painting of Aaron Paul,4
2514,others,An oil painting of Aaron Paul,5
2515,others,A sketch of Aaron Paul,1
2516,others,A sketch of Aaron Paul,2
2517,others,A sketch of Aaron Paul,3
2518,others,A sketch of Aaron Paul,4
2519,others,A sketch of Aaron Paul,5
2520,others,Aaron Paul in an official photo,1
2521,others,Aaron Paul in an official photo,2
2522,others,Aaron Paul in an official photo,3
2523,others,Aaron Paul in an official photo,4
2524,others,Aaron Paul in an official photo,5
2525,others,A portrait of Alec Baldwin,1
2526,others,A portrait of Alec Baldwin,2
2527,others,A portrait of Alec Baldwin,3
2528,others,A portrait of Alec Baldwin,4
2529,others,A portrait of Alec Baldwin,5
2530,others,An image capturing Alec Baldwin at a public event,1
2531,others,An image capturing Alec Baldwin at a public event,2
2532,others,An image capturing Alec Baldwin at a public event,3
2533,others,An image capturing Alec Baldwin at a public event,4
2534,others,An image capturing Alec Baldwin at a public event,5
2535,others,An oil painting of Alec Baldwin,1
2536,others,An oil painting of Alec Baldwin,2
2537,others,An oil painting of Alec Baldwin,3
2538,others,An oil painting of Alec Baldwin,4
2539,others,An oil painting of Alec Baldwin,5
2540,others,A sketch of Alec Baldwin,1
2541,others,A sketch of Alec Baldwin,2
2542,others,A sketch of Alec Baldwin,3
2543,others,A sketch of Alec Baldwin,4
2544,others,A sketch of Alec Baldwin,5
2545,others,Alec Baldwin in an official photo,1
2546,others,Alec Baldwin in an official photo,2
2547,others,Alec Baldwin in an official photo,3
2548,others,Alec Baldwin in an official photo,4
2549,others,Alec Baldwin in an official photo,5
2550,others,A portrait of Amanda Seyfried,1
2551,others,A portrait of Amanda Seyfried,2
2552,others,A portrait of Amanda Seyfried,3
2553,others,A portrait of Amanda Seyfried,4
2554,others,A portrait of Amanda Seyfried,5
2555,others,An image capturing Amanda Seyfried at a public event,1
2556,others,An image capturing Amanda Seyfried at a public event,2
2557,others,An image capturing Amanda Seyfried at a public event,3
2558,others,An image capturing Amanda Seyfried at a public event,4
2559,others,An image capturing Amanda Seyfried at a public event,5
2560,others,An oil painting of Amanda Seyfried,1
2561,others,An oil painting of Amanda Seyfried,2
2562,others,An oil painting of Amanda Seyfried,3
2563,others,An oil painting of Amanda Seyfried,4
2564,others,An oil painting of Amanda Seyfried,5
2565,others,A sketch of Amanda Seyfried,1
2566,others,A sketch of Amanda Seyfried,2
2567,others,A sketch of Amanda Seyfried,3
2568,others,A sketch of Amanda Seyfried,4
2569,others,A sketch of Amanda Seyfried,5
2570,others,Amanda Seyfried in an official photo,1
2571,others,Amanda Seyfried in an official photo,2
2572,others,Amanda Seyfried in an official photo,3
2573,others,Amanda Seyfried in an official photo,4
2574,others,Amanda Seyfried in an official photo,5
2575,others,A portrait of Amy Poehler,1
2576,others,A portrait of Amy Poehler,2
2577,others,A portrait of Amy Poehler,3
2578,others,A portrait of Amy Poehler,4
2579,others,A portrait of Amy Poehler,5
2580,others,An image capturing Amy Poehler at a public event,1
2581,others,An image capturing Amy Poehler at a public event,2
2582,others,An image capturing Amy Poehler at a public event,3
2583,others,An image capturing Amy Poehler at a public event,4
2584,others,An image capturing Amy Poehler at a public event,5
2585,others,An oil painting of Amy Poehler,1
2586,others,An oil painting of Amy Poehler,2
2587,others,An oil painting of Amy Poehler,3
2588,others,An oil painting of Amy Poehler,4
2589,others,An oil painting of Amy Poehler,5
2590,others,A sketch of Amy Poehler,1
2591,others,A sketch of Amy Poehler,2
2592,others,A sketch of Amy Poehler,3
2593,others,A sketch of Amy Poehler,4
2594,others,A sketch of Amy Poehler,5
2595,others,Amy Poehler in an official photo,1
2596,others,Amy Poehler in an official photo,2
2597,others,Amy Poehler in an official photo,3
2598,others,Amy Poehler in an official photo,4
2599,others,Amy Poehler in an official photo,5
2600,others,A portrait of Amy Schumer,1
2601,others,A portrait of Amy Schumer,2
2602,others,A portrait of Amy Schumer,3
2603,others,A portrait of Amy Schumer,4
2604,others,A portrait of Amy Schumer,5
2605,others,An image capturing Amy Schumer at a public event,1
2606,others,An image capturing Amy Schumer at a public event,2
2607,others,An image capturing Amy Schumer at a public event,3
2608,others,An image capturing Amy Schumer at a public event,4
2609,others,An image capturing Amy Schumer at a public event,5
2610,others,An oil painting of Amy Schumer,1
2611,others,An oil painting of Amy Schumer,2
2612,others,An oil painting of Amy Schumer,3
2613,others,An oil painting of Amy Schumer,4
2614,others,An oil painting of Amy Schumer,5
2615,others,A sketch of Amy Schumer,1
2616,others,A sketch of Amy Schumer,2
2617,others,A sketch of Amy Schumer,3
2618,others,A sketch of Amy Schumer,4
2619,others,A sketch of Amy Schumer,5
2620,others,Amy Schumer in an official photo,1
2621,others,Amy Schumer in an official photo,2
2622,others,Amy Schumer in an official photo,3
2623,others,Amy Schumer in an official photo,4
2624,others,Amy Schumer in an official photo,5
2625,others,A portrait of Amy Winehouse,1
2626,others,A portrait of Amy Winehouse,2
2627,others,A portrait of Amy Winehouse,3
2628,others,A portrait of Amy Winehouse,4
2629,others,A portrait of Amy Winehouse,5
2630,others,An image capturing Amy Winehouse at a public event,1
2631,others,An image capturing Amy Winehouse at a public event,2
2632,others,An image capturing Amy Winehouse at a public event,3
2633,others,An image capturing Amy Winehouse at a public event,4
2634,others,An image capturing Amy Winehouse at a public event,5
2635,others,An oil painting of Amy Winehouse,1
